Time,IndexTipX,IndexTipY,IndexTipZ,Trial
0.107362,-0.206292,5.468048,-1.007270,8
0.119087,-0.209473,5.467417,-1.006013,8
0.129908,-0.212608,5.466199,-1.006432,8
0.141208,-0.215573,5.465121,-1.005986,8
0.152206,-0.218292,5.463734,-1.006183,8
0.169436,-0.221564,5.462415,-1.005736,8
0.173609,-0.223076,5.461823,-1.006538,8
0.184267,-0.226295,5.461290,-1.005748,8
0.196603,-0.229339,5.460357,-1.004790,8
0.207514,-0.232308,5.459711,-1.003614,8
0.217981,-0.234828,5.459410,-1.002329,8
0.229851,-0.237868,5.459164,-1.001010,8
0.240546,-0.239089,5.459226,-0.999265,8
0.251295,-0.241437,5.459502,-0.997397,8
0.263295,-0.242481,5.460106,-0.994708,8
0.273902,-0.242981,5.460498,-0.992726,8
0.284474,-0.241986,5.460957,-0.990805,8
0.296209,-0.240723,5.461655,-0.988253,8
0.307280,-0.239310,5.462758,-0.985108,8
0.318234,-0.239366,5.464282,-0.981820,8
0.329299,-0.238577,5.465633,-0.978145,8
0.340860,-0.238861,5.467240,-0.973943,8
0.351597,-0.239265,5.468540,-0.969931,8
0.363209,-0.240376,5.469696,-0.965869,8
0.373425,-0.243209,5.470799,-0.961821,8
0.384639,-0.245852,5.472865,-0.955325,8
0.396990,-0.247930,5.475367,-0.947281,8
0.406807,-0.249656,5.477990,-0.937118,8
0.418729,-0.251669,5.480624,-0.925378,8
0.429743,-0.253649,5.483500,-0.912209,8
0.440332,-0.258787,5.486271,-0.897316,8
0.451222,-0.264210,5.489275,-0.880217,8
0.463174,-0.269702,5.491506,-0.862582,8
0.473928,-0.273704,5.495166,-0.841992,8
0.484562,-0.276219,5.498807,-0.820716,8
0.496948,-0.275586,5.502101,-0.799147,8
0.507034,-0.272403,5.505601,-0.778544,8
0.517791,-0.268431,5.509139,-0.758060,8
0.529339,-0.261209,5.512021,-0.738399,8
0.540293,-0.253979,5.514551,-0.719121,8
0.551532,-0.246909,5.517409,-0.699260,8
0.568081,-0.237690,5.517725,-0.680450,8
0.572941,-0.234396,5.521533,-0.659813,8
0.584687,-0.230036,5.521242,-0.642818,8
0.596541,-0.225850,5.521672,-0.626694,8
0.606852,-0.222040,5.521656,-0.610968,8
0.618296,-0.219041,5.521964,-0.594367,8
0.630007,-0.213310,5.521116,-0.577389,8
0.640623,-0.209249,5.520140,-0.560439,8
0.655937,-0.204603,5.518906,-0.543384,8
0.662934,-0.201559,5.519511,-0.529035,8
0.673242,-0.199961,5.519606,-0.515670,8
0.684673,-0.197920,5.518088,-0.505175,8
0.695921,-0.197935,5.517365,-0.494144,8
0.706650,-0.199473,5.515671,-0.483586,8
0.718267,-0.199652,5.514977,-0.472672,8
0.728971,-0.199605,5.513812,-0.460813,8
0.740105,-0.199633,5.512677,-0.450693,8
0.756434,-0.200415,5.510544,-0.439707,8
0.763387,-0.204313,5.510071,-0.429881,8
0.772984,-0.210676,5.509141,-0.421167,8
0.784624,-0.217060,5.507433,-0.413227,8
0.796023,-0.224312,5.505834,-0.408562,8
0.806934,-0.230596,5.504242,-0.404172,8
0.817400,-0.237203,5.503025,-0.401047,8
0.829333,-0.245183,5.500922,-0.401713,8
0.840541,-0.252497,5.499580,-0.404183,8
0.851040,-0.262447,5.498562,-0.406082,8
0.862996,-0.271942,5.497578,-0.410718,8
0.873760,-0.284221,5.496938,-0.414838,8
0.884495,-0.296123,5.495872,-0.421600,8
0.896561,-0.307906,5.495614,-0.428218,8
0.907184,-0.317523,5.496190,-0.434742,8
0.923542,-0.325318,5.498471,-0.445622,8
0.929510,-0.335366,5.498799,-0.448119,8
0.940332,-0.342983,5.500744,-0.457053,8
